lsa,operator,technology,month,year,speed_mbps
Mumbai,JIO,4G,2,2025,22.57421875
Kerala,JIO,4G,2,2025,7.26171875
Maharashtra,AIRTEL,4G,2,2025,2.1728515625
Mumbai,JIO,4G,2,2025,4.5771484375
Maharashtra,JIO,4G,2,2025,69.1298828125
Haryana,JIO,4G,2,2025,21.943359375
UP East,Vi India,4G,2,2025,6.755859375
Tamil Nadu,CELLONE,4G,2,2025,16.796875
Kerala,JIO,4G,2,2025,8.8486328125
West Bengal,JIO,4G,2,2025,8.9501953125
Delhi,JIO,4G,2,2025,10.5068359375
UP East,JIO,4G,2,2025,29.1416015625
Andhra Pradesh,JIO,4G,2,2025,69.5869140625
Haryana,JIO,4G,2,2025,61.1845703125
Haryana,AIRTEL,4G,2,2025,23.962890625
Madhya Pradesh,Vi India,4G,2,2025,2.6298828125
Bihar,JIO,4G,2,2025,8.884765625
West Bengal,JIO,4G,2,2025,7.2587890625
Kerala,CELLONE,4G,2,2025,10.5107421875
Madhya Pradesh,Vi India,4G,2,2025,3.9697265625
Maharashtra,JIO,4G,2,2025,17.55078125
West Bengal,JIO,4G,2,2025,8.20703125
Kerala,CELLONE,4G,2,2025,11.515625
Haryana,JIO,4G,2,2025,68.4208984375
Bihar,JIO,4G,2,2025,4.728515625
UP West,CELLONE,4G,2,2025,3.6435546875
West Bengal,JIO,4G,2,2025,67.9658203125
Haryana,JIO,4G,2,2025,18.052734375
Himachal Pradesh,JIO,4G,2,2025,1.8212890625
Andhra Pradesh,CELLONE,4G,2,2025,0.685546875
Orissa,JIO,4G,2,2025,6.833984375
Maharashtra,JIO,4G,2,2025,66.41796875
Kolkata,JIO,4G,2,2025,12.00390625
Maharashtra,JIO,4G,2,2025,67.2626953125
West Bengal,JIO,4G,2,2025,72.3251953125
Tamil Nadu,JIO,4G,2,2025,3.259765625
Tamil Nadu,AIRTEL,4G,2,2025,0.6064453125
Bihar,JIO,4G,2,2025,1.3349609375
Chennai,CELLONE,4G,2,2025,14.671875
Haryana,JIO,4G,2,2025,1.28125
Andhra Pradesh,JIO,4G,2,2025,9.826171875
Orissa,AIRTEL,4G,2,2025,38.443359375
Haryana,JIO,4G,2,2025,0.3662109375
Delhi,Vi India,4G,2,2025,31.310546875
Haryana,AIRTEL,4G,2,2025,35.4736328125
